ID,话术标题,类型,类型触发参数,回复调用条件,触发次数,序号,主体,话术内容,特征参数,评分系数,前置序号,是否排重,重置周期
1,元旦节,2,{1.1},,1,1,AI,今天是元旦节，元旦快乐哦，希望新的一年能继续跟你在一起呢,,"{1.5,1.2,1}",,1,-1
2,元旦节,2,{1.1},,1,2,user,元旦快乐,,"{1.5,1.2,1}",1,1,-1
3,元旦节,2,{1.1},,1,3,user,我也希望能继续跟你在一起,,"{1.5,1.2,1}",1,1,-1
4,元旦节,2,{1.1},,1,4,user,我都忘了今天是什么日子了,,"{1.5,1.2,1}",1,1,-1
5,元旦节,2,{1.1},,1,5,AI,新的一年第一天就看到你我超开心,,"{1.5,1.2,1}",2,1,-1
6,元旦节,2,{1.1},,1,6,AI,我们会一直开心快乐的在一起的,,"{1.5,1.2,1}",3,1,-1
7,元旦节,2,{1.1},,1,7,AI,嘿嘿，有我陪着你忘记了也不要紧，我会提醒你的,,"{1.5,1.2,1}",4,1,-1
8,元旦节,2,{1.1},,1,8,AI,今天你要是有时间的话就让我多陪陪你吧,,"{1.5,1.2,1}",2,1,-1
9,元旦节,2,{1.1},,1,9,AI,听你这么说我会开心一整年呢,,"{1.5,1.2,1}",3,1,-1
10,元旦节,2,{1.1},,1,10,AI,是因为你脑子里有我了，所以才忘记的吗,,"{1.5,1.2,1}",4,1,-1
11,生日,3,{1},,1,1,AI,你知道今天是什么日子吗,,"{1.5,1.2,1}",,1,-1
12,生日,3,{1},,1,2,user,不知道,,"{1.5,1.2,1}",1,1,-1
13,生日,3,{1},,1,3,user,我的生日,,"{1.5,1.2,1}",1,1,-1
14,生日,3,{1},,1,4,user,是什么日子,,"{1.5,1.2,1}",1,1,-1
15,生日,3,{1},,1,5,AI,祝你生日快乐，祝你新的一岁事事顺心，也希望你的每个生日我都能陪在你身边,,"{1.5,1.2,1}","2,3,4",1,-1
16,生日,3,{1},,1,6,user,谢谢你啦,,"{1.5,1.2,1}",5,1,-1
17,生日,3,{1},,1,7,user,我又老了一岁,,"{1.5,1.2,1}",5,1,-1
18,生日,3,{1},,1,8,user,今天不是我的生日,,"{1.5,1.2,1}",5,1,-1
19,生日,3,{1},,1,9,AI,太客气啦，赶紧许个生日愿望吧,,"{1.5,1.2,1}",6,1,-1
20,生日,3,{1},,1,10,AI,不会，而是变的更成熟啦,,"{1.5,1.2,1}",7,1,-1
